date;btc;eth;ltc;xrp;bric;sp500;eurostoxx;nasdaq;bond_europe;bond_us;bond_eur;eur;gbp;chf;jpy;gold;wti;grain;metal;vix
22/02/2018;-0.0663;-0.0447;-0.0883;-0.0798;-0.0063;0.001;0.0005;-0.0011;-0.0004;0.001;0.0001;0.0037;0.0027;0.0065;0.0094;0.0056;0.0175;0.0034;-0.0007;-0.0671
21/02/2018;-0.0646;-0.052;-0.0875;-0.0664;0.0134;-0.0055;-0.0014;-0.0022;0.0006;-0.0025;0.0005;-0.0043;-0.0056;-0.003;-0.0041;-0.0034;-0.0036;-0.0001;0.0035;-0.0286
20/02/2018;0.0158;-0.0527;0.043;-0.0449;0;-0.0029;0.008;-0.0004;0.0011;-0.0004;-0.0001;-0.0057;-0.0003;-0.0076;-0.0068;-0.0129;0.0018;-0.0029;-0.0071;0.0281
19/02/2018;0.0925;-0.0004;-0.0312;0;-0.0013;-0.0029;-0.0056;-0.0004;-0.0014;-0.0004;-0.0017;0.0001;-0.0019;-0.0018;-0.0031;-0.0004;0.0018;-0.0029;-0.007;0.0289
16/02/2018;0.0066;0.0077;0.0206;-0.0087;-0.0044;0.0004;0.0109;-0.0023;0.0035;0.0011;0.0025;-0.008;-0.0052;-0.0059;-0.0015;-0.005;0.0055;-0.003;0.0082;0.0171
15/02/2018;0.0684;0.0144;0.055;0.0087;0.0179;0.012;0.0059;0.0157;-0.0005;0.0018;-0.0003;0.0044;0.0071;0.008;0.0084;0.0022;0.0121;0.0074;0.0007;-0.0068
14/02/2018;0.0992;0.0886;0.2906;0.1015;0.0237;0.0133;0.0086;0.0184;-0.0001;-0.004;-0.0002;0.008;0.0075;0.006;0.0075;0.0158;0.0235;-0.0012;0.0232;-0.2596
13/02/2018;-0.0375;-0.0274;-0.0126;-0.0474;0.0116;0.0026;-0.0081;0.0045;-0.0017;0.0001;-0.0013;0.0049;0.004;0.0047;0.0078;0.0052;-0.0017;0.0003;0.0174;-0.0253
12/02/2018;0.0215;-0.0173;-0.0146;0.1236;0.0057;0.0138;0.0126;0.0155;-0.0003;-0.0011;0.0002;0.0033;0.0008;0.0003;0.0014;0.0046;0.0015;0.0207;0.0048;-0.1264
09/02/2018;0.0555;0.0777;0.0925;0.1699;-0.0196;0.0148;-0.0153;0.0143;-0.0016;0.0003;0;0.0004;-0.0062;-0.0038;-0.0007;-0.0016;-0.0324;-0.011;-0.0145;-0.141
08/02/2018;0.0812;0.0772;0.0784;0.1065;-0.0088;-0.0383;-0.0226;-0.0398;-0.0009;-0.0013;-0.002;-0.0014;0.0023;0.0078;0.0055;0.0003;-0.0104;-0.0016;0.002;0.1878
07/02/2018;-0.0173;-0.0465;-0.0341;-0.07;-0.0092;-0.005;0.0174;-0.009;-0.0004;-0.0036;-0.0005;-0.0092;-0.0049;-0.0078;0.002;-0.0044;-0.0256;0.0109;-0.0204;-0.078
06/02/2018;0.1087;0.1278;0.1318;0.1154;-0.0288;0.0173;-0.0244;0.0211;0.0021;0.0006;0.0024;0.0008;-0.0007;-0.0047;-0.004;-0.0116;-0.0119;0.0145;-0.0176;-0.219
05/02/2018;-0.2387;-0.2716;-0.0471;-0.246;-0.0168;-0.0418;-0.0127;-0.0385;-0.0007;0.003;0.0004;-0.0077;-0.0113;-0.0005;0.0095;0.0047;-0.0201;-0.0094;0.0093;0.7682
02/02/2018;-0.0378;-0.1241;-0.0798;-0.0842;-0.0138;-0.0214;-0.0152;-0.0198;-0.0034;-0.0041;-0.0024;-0.0038;-0.0103;-0.0052;-0.0068;-0.0115;-0.0053;-0.0051;-0.0108;0.2508
01/02/2018;-0.1085;-0.0757;-0.138;-0.1866;-0.0095;-0.0006;-0.0089;-0.0035;-0.0001;-0.0027;0.0003;0.0077;0.0051;0.0052;-0.0021;0.0027;0.0164;-0.0033;0.0046;-0.0052
31/01/2018;0.0113;0.0431;-0.0117;0.0174;0.0063;0.0005;0.0007;0.0012;0.0007;0.0007;0.0005;0.001;0.0031;0.0033;-0.0037;0.0049;0.0036;-0.0047;0.0095;-0.0883
30/01/2018;-0.1113;-0.0988;-0.0945;-0.1466;-0.0142;-0.011;-0.01;-0.0086;0;-0.0015;0.0004;0.0015;0.0052;0.0035;0.0016;-0.0013;-0.0163;0.013;-0.0093;0.0664
29/01/2018;0.0111;0.1138;0.0275;0.0788;-0.0065;-0.0068;-0.0012;-0.0052;-0.0025;-0.0013;-0.0027;-0.0035;-0.0061;-0.004;-0.0033;-0.0065;-0.0088;0.0106;-0.0014;0.2224
26/01/2018;-0.0078;-0.0008;-0.0198;-0.0712;0.0156;0.0118;0.0047;0.0127;-0.0012;-0.0021;-0.0008;0.0025;0.0013;0.0079;0.0074;0.0006;0.0096;0.0045;-0.0008;-0.0441
25/01/2018;-0.0088;-0.0026;0.0016;-0.0375;-0.0026;0.0006;-0.0036;-0.0005;-0.0015;0.0025;-0.0013;-0.001;-0.007;0.0046;-0.0017;-0.0075;-0.0015;-0.0001;-0.0017;0.0095
24/01/2018;0.0442;0.071;0.0122;0.0148;0.0091;-0.0006;-0.0079;-0.0061;-0.0004;-0.0015;-0.0012;0.0088;0.0171;0.0128;0.0099;0.0128;0.0175;0.0158;0.0216;0.0328
23/01/2018;-0.0058;-0.0171;-0.0123;-0.0148;0.0117;0.0022;0.0019;0.007;0.0005;0.002;0.0006;0.003;0.0009;0.0044;0.0058;0.0055;0.0153;-0.0037;-0.0112;0.0063
22/01/2018;-0.06;-0.0351;-0.0695;-0.1308;0.0074;0.008;0.0044;0.0097;0.0015;-0.0011;0.001;0.0033;0.0093;0.0017;-0.001;0.0016;0.0019;0.0034;0.0069;-0.0215
19/01/2018;0.0115;0.0027;0.0006;-0.0317;0.0056;0.0044;0.0077;0.0055;0.0002;-0.0015;0.0007;-0.0013;-0.0026;-0.0048;0.0024;0.0036;-0.0091;0.0006;-0.003;-0.0809
18/01/2018;0.0253;0.0215;0.0333;0.2;0.0037;-0.0016;0.0022;-0.0003;-0.0004;-0.0017;-0.0008;0.0043;0.0045;0.0069;0.0017;0.0001;-0.0003;0.0022;0.0123;0.0257
17/01/2018;-0.0266;-0.0381;-0.0097;0.1045;0.0078;0.0094;-0.0026;0.0103;0.0008;-0.0018;0.0002;-0.0061;0.0028;-0.0064;-0.0075;-0.0087;0.0038;0.0093;-0.0041;0.0212
16/01/2018;-0.1846;-0.2038;-0.2119;-0.3533;0.0046;-0.0018;0.0028;-0.0026;0.002;0.0003;0.0018;-0.0003;0;0.0037;0.0008;-0.0012;-0.0045;0.0007;-0.0028;0.0665
